video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0051,43,但是我在想其实我演的很好，我想告诉他们我演的很好,0.8,0.8,1.0,-1.0,1.8
video_0051,44,所以我要让更多的人知道我,0.8,0.8,0.6,-1.0,1.8
video_0055,26,你在搞笑吗,-1.0,-0.2,-0.4,0.6,1.6
video_0052,14,所有的队员都竭尽全力了,0.8,0.6,0.6,-0.8,1.6
video_0032,5,就是这么想的，要活一起活，要死大家一起。,1.0,-0.8,1.0,-0.6,1.6
video_0025,10,我们在这里一个打十个。,-1.0,0.6,-1.0,0.6,1.6
video_0051,45,我可以演得很好，你们可以信任我,0.8,1.0,0.6,-0.8,1.6
video_0058,9,活该，大半夜的没事在那爬来爬去的，不困才怪呢,-0.8,-1.0,0.6,0.6,1.4
video_0002,6,咱们球队上上下下都是非常信任你，认为你就是能力不行。,-0.8,-0.6,-0.2,0.6,1.4
video_0024,3,老师再给你讲最后一次啊！,1.0,-0.2,1.0,-0.4,1.4
video_0001,31,不是都快破产了吗,0.6,-0.8,1.0,-0.8,1.4
video_0046,62,可能跟大家接触之后至少有那么一段时间你偶尔会露出一些笑容吧,0.4,0.4,-0.4,-0.8,1.2000000000000002
video_0040,54,晓骏，吃完饭，咱们去攻陷美国,0.8,0.6,-0.2,-0.4,1.2000000000000002
video_0014,23,我等你。,1.0,0.4,1.0,-0.2,1.2
video_0054,30,还挺难的，我说怎么感觉,-0.2,-1.0,1.0,1.0,1.2
video_0010,9,"妈妈，其实我，我,我想你了。",0.2,0.4,0.6,-1.0,1.2
video_0057,15,放心吧王阿姨，我很有耐心的,1.0,0.6,1.0,-0.2,1.2
video_0054,24,麻木之后就是要怎么着都行，夹缝中求生存了后来,-0.6,-0.4,0.0,0.6,1.2
video_0008,8,照顾我生意啊,1.0,0.0,1.0,-0.2,1.2
video_0053,9,你站我旁边干嘛呢，你进去呀,-1.0,-0.4,1.0,0.2,1.2
video_0053,59,嫁给你我还不如不活呢,-1.0,-1.0,-0.4,0.2,1.2
video_0024,44,学校处罚学生不用经过班主任同意，呵呵,1.0,-0.8,1.0,-0.2,1.2
video_0054,31,我久经沙场的到了这感觉特别像囚徒被困在这衣服里,-0.2,-0.8,1.0,1.0,1.2
video_0054,23,丧完之后慢慢你就麻木了,-0.6,-0.8,0.0,0.6,1.2
video_0024,47,好，就按你说的，班级前十名。,1.0,0.4,1.0,0.0,1.0
video_0054,65,现在是一个合格的群演,1.0,0.6,1.0,0.0,1.0
video_0054,66,毋庸置疑，绝对是谢彬彬,1.0,0.4,1.0,0.0,1.0
video_0046,52,我们俩是不可能差别更大的了,0.2,0.0,-0.4,-0.8,1.0
video_0054,22,就开始垮下来，就丧下来了,-0.6,-0.8,-0.4,0.4,1.0
video_0054,82,因为我是签了三个戏然后三个戏黄了,-0.8,-1.0,-0.2,0.2,1.0
video_0055,29,一切都会慢慢变好的,0.6,1.0,-0.6,-0.4,1.0
video_0055,11,这也太意想不到了吧,-0.8,0.8,-1.0,0.2,1.0
video_0055,4,你还没告诉我你怎么知道我藏着手机呢,-0.4,0.0,0.2,0.6,1.0
video_0038,45,不不不，没吃,0.4,0.0,0.2,-0.6,1.0
video_0047,5,结果分手的时候，她把那张唱片掰成两半，所以我印象很深刻,-1.0,-0.2,0.6,0.0,1.0
video_0052,4,我没日没夜的盼着这场比赛,1.0,0.4,1.0,0.0,1.0
video_0014,29,从今天起，你妈就是我妈,-1.0,0.6,-1.0,0.0,1.0
video_0040,10,家里已经负担不起了,-1.0,-0.6,-0.6,0.0,1.0
video_0054,58,然后呢对光其实很不习惯，就会很没有安全感,-1.0,0.0,-0.4,0.0,1.0
video_0010,12,哎，我跟你说那就是陈奇怪太弱了。,-0.8,-0.6,-0.6,0.2,1.0
video_0053,19,其实你身边已经有一条船了,-0.2,0.0,1.0,0.8,1.0
video_0054,41,拜托，多给一点点休息时间，我想多睡两个小时,0.0,-0.8,1.0,1.0,1.0
video_0001,18,哦，对对对，她身份很特别，不想让我张扬出去。,1.0,0.6,1.0,0.0,1.0
video_0045,63,黄小山，小山哥就是那个认真说话的人,0.4,0.2,-0.6,-0.6,1.0
video_0051,39,其实我真的挺感动的,0.8,1.0,0.0,-0.2,1.0
video_0054,135,而且每一次下去，都要给自己鼓特别大的勇气,-0.4,-0.2,0.4,0.6,1.0
video_0045,70,我今天输的一点都没有遗憾，我来这个舞台我已经达到我的目的了,0.2,0.8,0.6,-0.8,1.0
video_0059,6,你看你那皱纹确实有点多,-0.2,-0.8,1.0,0.8,1.0
video_0002,35,我给你两分钟，你给我好好介绍一下，你怎么得的精神病,-0.8,-0.6,-0.2,0.2,1.0
video_0054,97,然后我就觉得有点小小的自信,1.0,1.0,0.4,0.0,1.0
video_0043,58,我只能说我这次是侥幸,1.0,0.4,1.0,0.0,1.0
video_0016,32,也是茴香的味道，能让我在将来厌倦你的时候多去回想你的好。,-1.0,0.6,-1.0,0.0,1.0
video_0047,78,没想到你还挺长情的,-0.8,0.6,0.8,0.2,1.0
video_0010,1,我爸你还不知道，他就那样，对不对,-0.8,-0.6,-1.0,0.2,1.0
video_0010,2,他比较自私，你知道吧，我妈，我妈不是以为你走了吗？,-0.8,-0.8,-1.0,0.2,1.0
video_0016,8,行吧，喝点酒有时有晌的，赶紧,0.0,-0.8,0.0,-1.0,1.0
video_0054,46,无论是精神还是身体都被掏空了,-0.8,-1.0,0.0,0.2,1.0
video_0043,14,但现在就见一个选一个，这是好方法吗,-0.8,-0.2,1.0,0.2,1.0
video_0046,38,父母的爱就是我成长中最好的养料,0.2,0.8,0.2,-0.8,1.0
video_0015,19,你真好看。,1.0,1.0,0.4,0.0,1.0
video_0054,111,拍摄有闲暇之余的时候我会亲手为她做顿饭,0.2,0.0,1.0,-0.6,0.8
video_0022,20,大家都忙着捡瓶子卖钱，只要你成天就是画画,0.2,-0.6,1.0,-0.6,0.8
video_0035,31,大唐陨落不是她的错,0.0,0.4,0.8,-0.8,0.8
video_0036,12,打不过人家，就不要再说打了嘛,-0.6,0.2,-0.8,0.2,0.8
video_0035,21,不是给过你一个了吗,0.4,-0.4,0.6,-0.4,0.8
video_0037,16,我会毫不犹豫,0.0,0.0,-0.2,-0.8,0.8
video_0053,7,我整个人裂开了,-0.2,-0.8,0.8,0.6,0.8
video_0035,17,那猫真的会来吗,0.0,0.0,0.0,-0.8,0.8
video_0054,86,你经常等的时候你就什么感觉都没了,-0.8,-0.8,0.0,0.0,0.8
video_0054,25,建议大家谨慎选择这条道理，因为这条路不是那么好走的,-0.8,-0.6,0.0,0.0,0.8
video_0054,26,啦哥今天背着那个背篓，跪了四十多条,0.0,-0.2,0.6,0.8,0.8
video_0027,2,爹，爷爷又来骂你了。,0.6,-0.8,1.0,-0.2,0.8
video_0054,18,希望在之后能够保住这个男一吧,0.8,0.0,1.0,0.0,0.8
video_0054,10,得练，台词要练练，他可能阅读障碍症,-0.2,-0.8,0.0,0.6,0.8
video_0030,18,那可不是，这首曲子是唢呐匠的看家本事,0.0,0.8,0.2,0.8,0.8
video_0054,39,选择这个职业，就意味着你没有那么多的选择了,-0.4,0.0,-0.2,0.4,0.8
video_0025,22,那么久，他就接着睡了一觉吗,0.2,0.0,-0.4,-0.6,0.8
video_0024,115,把自己的桥修好，在我看来，是世界上最大的事。,-0.6,0.8,-0.8,0.2,0.8
video_0054,42,四个小时就可以了，我要求真的不高，四个小时就可以了,0.0,-0.6,1.0,0.8,0.8
video_0054,44,女演员为什么都喜欢这种光呢,0.0,-0.2,0.8,0.8,0.8
