video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0001,1,我不想嫁给李茶,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,18,关于你的表演里面，你有没有站在观众的角度思考这段表演是否过长或是否过于激烈,0.0,-0.4,0.0,0.0,0.0
video_0043,19,这个也是演员的美学，他需要去学习的,0.0,0.0,0.0,0.0,0.0
video_0043,22,各位老师是可以从一个上帝视角来看我,0.0,0.0,0.0,0.0,0.0
video_0043,23,但我之前一直不会发现这个问题,-0.4,-0.2,-0.6,-0.4,0.0
video_0043,24,我说他那个水平都没有进，那我一下就蒙了你知道吗,-1.0,-0.6,-0.4,-1.0,0.0
video_0043,27,我记得03年04年那两年是我见组最疯狂的两年,0.0,0.2,-0.4,0.0,0.0
video_0043,28,03年我一年见了三百多个剧组,0.0,0.0,0.0,0.0,0.0
video_0043,29,两年之内被否定了将近六百次,-0.2,-0.6,0.0,-0.2,0.0
video_0043,32,他是一个电影学院大一第一学期的一个入门表演练习,0.0,0.0,0.0,0.0,0.0
video_0043,33,观众看一个电影一个电视剧他是不知道接下来剧情的对不对,0.0,0.0,0.2,0.0,0.0
video_0043,34,但对不起，演员是知道的,0.0,-0.2,0.0,0.0,0.0
video_0043,39,不要这么乖,0.0,-0.4,-0.2,0.0,0.0
video_0043,46,你知道我认为他肯定说不出来的，我认为他心思根本就没再听,0.0,-1.0,0.2,0.0,0.0
video_0043,48,有一类例外，正小生和正花旦,0.0,0.0,0.2,0.0,0.0
video_0043,49,来吧，期待你的表演,1.0,0.8,1.0,1.0,0.0
video_0043,50,如果你觉得你怀才不遇，我给你这样一个机会，让你看看你究竟是不是这块料,0.0,0.2,0.6,0.0,0.0
video_0043,52,我更期待的是两位演员在尽情飙戏过程中互相制衡和博弈,0.6,0.6,1.0,0.6,0.0
video_0043,54,从头到尾里面她都很关注一个事件，发生了什么事情她都一直不丢掉这个最高任务,0.0,0.0,-0.2,0.0,0.0
video_0043,57,我认为你是一个非常非常好的演员,1.0,1.0,-0.4,1.0,0.0
video_0044,1,大家好老师好，我是朱致灵，身高是一米八五，体重是七十,0.2,0.0,0.6,0.2,0.0
video_0044,2,我们要正面侧面还有后面都拍你一下，好吧,0.6,0.0,0.6,0.6,0.0
video_0044,8,我提醒第一句话就是一个演员一定是生活细节大师,0.0,0.0,-0.2,0.0,0.0
video_0044,9,躺着靠着然后一句话都不会说,-0.4,0.0,0.2,-0.4,0.0
video_0045,2,纠结两星期了，从演说家都快变成纠结家了,0.0,-0.8,0.8,0.0,0.0
video_0045,3,跟他们培训跟他们聊天，也有了很多的感情,0.0,0.4,0.2,0.0,0.0
video_0045,7,女的都被他们淘汰掉了,0.0,-0.4,0.8,0.0,0.0
video_0045,8,说的好可怜啊,1.0,-1.0,1.0,1.0,0.0
video_0045,10,我觉得应该不是黄橙橙，因为我刚才出去看到她了,0.0,0.0,0.4,0.0,0.0
video_0045,13,二十岁的时候我选择去服兵役,0.0,0.0,0.2,0.0,0.0
video_0043,17,你吼我，长这么大你吼过我吗,-1.0,-1.0,-1.0,-1.0,0.0
video_0045,14,因为在当艺人的那个阶段，我每天不是这个播音棚就是那个播音棚,0.0,-0.2,0.2,0.0,0.0
video_0043,15,喝醉不是你耍无赖的理由,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,10,有很多很多演员确实在他那学习过以后发生了翻天覆地的改变,0.4,0.6,0.2,0.4,0.0
video_0040,51,可他们连最基本的尊重也不给,-0.8,-1.0,-0.2,-0.8,0.0
video_0040,53,我是为了我自己，对不起,-0.8,-1.0,-0.6,-0.8,0.0
video_0041,3,你哭什么，我问你怎么回事，你跟那场戏似的我问你怎么回事,-1.0,-1.0,-1.0,-1.0,0.0
video_0041,4,这就不能打了，女人在哭的时候这就不能打，男人下不去手,0.2,-0.4,0.6,0.2,0.0
video_0041,5,急呀，我问你怎么回事,-1.0,-0.8,-1.0,-1.0,0.0
video_0041,7,外面传言我跟刘汉臣这场戏的怎么着怎么着，督办您觉得这能是真的吗,-1.0,0.0,-1.0,-1.0,0.0
video_0041,9,这句话说完褚玉璞枪就撂下了，就更打不了了,0.2,0.0,0.6,0.2,0.0
video_0041,10,那国民饭店是怎么回事,-1.0,0.0,-1.0,-1.0,0.0
video_0041,11,跟您这么说吧，那天其实我在裕德里的时候我就挺喜欢刘汉臣的,-1.0,0.6,-1.0,-1.0,0.0
video_0041,12,我当您的媳妇之后呢我还是想唱戏，但是我过去我是想让他教我唱戏,-1.0,0.0,-1.0,-1.0,0.0
video_0041,14,所以我就买通了星期六晚报,-1.0,0.0,-1.0,-1.0,0.0
video_0041,15,我为什么没有对外界说呢，我还是照顾督办的名声,-1.0,0.4,-1.0,-1.0,0.0
video_0041,17,我请您吃红丸子,0.6,0.2,1.0,0.6,0.0
video_0041,24,赵钱孙李，周吴郑王，冯陈褚卫，我叫孟鹤堂,0.2,0.0,0.8,0.2,0.0
video_0041,25,主要是我那搭档，他不是，这前几天呢，他也不跟我说一声,-1.0,0.0,-1.0,-1.0,0.0
video_0041,26,他跟人家说群的去了,-1.0,0.0,-1.0,-1.0,0.0
video_0041,27,你说我身边要没有他，我这心里头啊,-1.0,-0.6,-1.0,-1.0,0.0
video_0042,1,我让你给咱们保安队招新人招的怎么样了,-0.2,0.0,-0.2,-0.2,0.0
video_0042,4,他不还是上次那个人吗，他怎么又来了,-1.0,-0.4,-1.0,-1.0,0.0
video_0042,9,小鸡，对不起你,-1.0,-1.0,-1.0,-1.0,0.0
video_0042,10,上一边自己呆着去,-1.0,-1.0,-1.0,-1.0,0.0
video_0042,12,你看我干什么玩意啊，你想咋的,-1.0,-1.0,-0.8,-1.0,0.0
video_0042,13,我确实找到我这个问题改变的方法了,-0.2,0.2,-0.6,-0.2,0.0
video_0042,14,给我和我姥一次机会,-0.2,0.0,-0.6,-0.2,0.0
video_0042,16,我学了三个月的军事战略部署,-0.2,0.0,0.4,-0.2,0.0
video_0043,3,这个我，随便吧反正，他们要是这么想的话就演演看呗，实力说话嘛,-0.4,0.2,0.6,-0.4,0.0
video_0043,4,你给他时间准备，他就会透过排练掩盖他本身的缺点,0.0,-0.4,0.0,0.0,0.0
