video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0001,1,我不想嫁给李茶,-1.0,-1.0,-1.0,-1.0,0.0
video_0045,10,我觉得应该不是黄橙橙，因为我刚才出去看到她了,0.0,0.0,0.4,0.0,0.0
video_0045,13,二十岁的时候我选择去服兵役,0.0,0.0,0.2,0.0,0.0
video_0045,15,每天唱歌演戏跳舞,0.0,0.0,-0.2,0.0,0.0
video_0045,16,我心里想，哇我好开心哦，我终于可以换一个地方休息一下了,1.0,1.0,1.0,0.6,0.0
video_0045,18,在文工团里面，我们不仅要表演，我们还要搭舞台，灯光，音响，做道具,0.0,0.0,0.0,0.4,0.0
video_0045,19,我还学会了用缝纫机用针线去做衣服,0.0,0.0,0.6,0.0,0.0
video_0045,23,论境界，论情怀，你远远在我之上,1.0,1.0,0.0,0.2,0.0
video_0045,26,不以善小而不为，不以恶小而为之,0.4,0.4,0.2,0.2,0.0
video_0045,27,在十年之前，我是戴耳环的,0.0,0.0,0.2,0.4,0.0
video_0045,29,我很愤怒,-1.0,-1.0,-0.6,-1.0,0.0
video_0045,37,那天，我和我一个朋友去逛街买衣服,0.0,0.0,0.4,-0.2,0.0
video_0045,38,你能不能买点正经衣服,-1.0,-1.0,-1.0,-1.0,0.0
video_0045,39,自己的三十岁，那一定是才高八斗风度翩翩，张口专业名词，闭嘴绅士微笑,0.8,0.8,0.8,0.4,0.0
video_0045,42,不管是大姐姐还是小妹妹，他们都会跟我说，我们都爱林志颖,0.4,0.4,-0.4,0.6,0.0
video_0045,47,你最终的这个炮弹要落在什么地方，我其实是稍微有点发散了,0.0,0.0,0.0,0.0,0.0
video_0045,56,你从他身上感受到的最多的是什么,0.0,0.0,0.0,0.0,0.0
video_0045,61,不要把自己当成是奥斯卡影帝，刻意的煽情和无病呻吟都是伪装的真诚,-0.8,-0.8,-0.8,-1.0,0.0
video_0045,68,但是通过他改装很厉害的赛车不见得能跑完终点,-0.2,-0.2,1.0,0.4,0.0
video_0045,69,我们是速度与激情的队伍,1.0,1.0,1.0,0.8,0.0
video_0045,79,这种劝说的方式，很直接把人打开踢开滚开的这种方式，最后神来一笔，这是我家的橘子,0.0,0.0,0.6,0.2,0.0
video_0045,85,我戴耳环戴很久,0.0,0.0,0.0,0.0,0.0
video_0045,6,反正我们都会尽我们的全力,0.4,0.4,1.0,0.0,0.0
video_0045,5,你就尽管选的,0.2,0.2,1.0,0.0,0.0
video_0045,1,我觉得这是我今天得到的最大的收获,0.4,0.4,0.4,0.0,0.0
video_0044,8,我提醒第一句话就是一个演员一定是生活细节大师,0.0,0.0,-0.2,0.0,0.0
video_0043,6,但她现在的表演功力还不扎实，我看他学完会怎么样，有点期待,1.0,1.0,0.8,0.4,0.0
video_0043,13,为什么不是见了三十个之后最后选十二个出来呢,-0.2,-0.2,0.0,-0.2,0.0
video_0043,15,喝醉不是你耍无赖的理由,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,17,你吼我，长这么大你吼过我吗,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,19,这个也是演员的美学，他需要去学习的,0.0,0.0,0.0,0.0,0.0
video_0043,20,当然你的傲慢我也很喜欢,1.0,1.0,1.0,0.8,0.0
video_0043,22,各位老师是可以从一个上帝视角来看我,0.0,0.0,0.0,0.0,0.0
video_0043,28,03年我一年见了三百多个剧组,0.0,0.0,0.0,0.0,0.0
video_0043,31,他们渴望成为演技派的，每个人都渴望,0.0,0.0,0.4,0.2,0.0
video_0043,32,他是一个电影学院大一第一学期的一个入门表演练习,0.0,0.0,0.0,0.0,0.0
video_0045,86,我带耳环给企业做培训，给政府做培训，我做了很多,0.0,0.0,0.0,-0.2,0.0
video_0043,33,观众看一个电影一个电视剧他是不知道接下来剧情的对不对,0.0,0.0,0.2,0.0,0.0
video_0043,44,确实是你的形象是让人非常过目不忘的,0.4,0.4,0.2,-0.2,0.0
video_0043,47,好久没有体会到这种即兴的魅力，而且我很感谢我对手，真的,1.0,1.0,1.0,0.8,0.0
video_0043,48,有一类例外，正小生和正花旦,0.0,0.0,0.2,0.0,0.0
video_0043,52,我更期待的是两位演员在尽情飙戏过程中互相制衡和博弈,0.6,0.6,1.0,0.6,0.0
video_0043,54,从头到尾里面她都很关注一个事件，发生了什么事情她都一直不丢掉这个最高任务,0.0,0.0,-0.2,0.0,0.0
video_0043,57,我认为你是一个非常非常好的演员,1.0,1.0,-0.4,1.0,0.0
video_0043,61,我始终觉得哪里有空填哪是最容易出来的,0.2,0.2,0.2,0.0,0.0
video_0044,5,当天就签了，我就觉得我要走出这一步，就是想搏一下,0.2,0.2,0.6,0.6,0.0
video_0044,6,你干嘛不给你爸妈打电话啊,-0.4,-0.4,-0.6,-0.6,0.0
video_0044,7,但是你作为和那个女生演对手戏的男演员，你却没发现她穿什么鞋,-0.4,-0.4,-0.2,-0.2,0.0
video_0043,37,跟你有屁关系啊,-1.0,-1.0,-0.8,-0.8,0.0
video_0045,87,我内心深处的想法是,0.0,0.0,0.0,-0.2,0.0
video_0045,90,因为当我去给那些比较传统的政府官员，或者年龄比较大的企业主，或者这些教育工作者讲课的时候,0.0,0.0,0.0,0.0,0.0
video_0045,91,我发现他们见到我一开始对我形象的抵触，他已经对我讲的内容没有兴趣了,-0.8,-0.8,-0.2,0.0,0.0
video_0046,58,"大着肚子还有四个月就要生孩子了，我哭了又哭，哭了又哭,最让我崩溃的是我发现我居然还爱着这个人渣",-1.0,-1.0,-0.2,-0.8,0.0
video_0046,62,可能跟大家接触之后至少有那么一段时间你偶尔会露出一些笑容吧,0.4,0.4,-0.4,-0.8,0.0
video_0047,3,不就是她出第一张专辑，天使的守候那一年吗,0.0,0.0,0.0,0.0,0.0
video_0047,7,能有万文方的亲笔签名吗,0.2,0.2,0.0,0.8,0.0
video_0047,9,案发当晚你在哪里,0.0,0.0,0.0,0.0,0.0
video_0047,10,你跟嫌犯认识吗,0.0,0.0,0.0,0.0,0.0
