video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0025,10,我们在这里一个打十个。,-1.0,0.6,-1.0,0.6,1.6
video_0001,31,不是都快破产了吗,0.6,-0.8,1.0,-0.8,1.4
video_0054,58,然后呢对光其实很不习惯，就会很没有安全感,-1.0,0.0,-0.4,0.0,1.0
video_0054,18,希望在之后能够保住这个男一吧,0.8,0.0,1.0,0.0,0.8
video_0014,13,你同伴告诉我的。,0.8,0.0,1.0,0.0,0.8
video_0009,33,儿臣理应为朝政、为父皇分忧。,0.8,0.0,1.0,0.0,0.8
video_0022,20,大家都忙着捡瓶子卖钱，只要你成天就是画画,0.2,-0.6,1.0,-0.6,0.8
video_0030,18,那可不是，这首曲子是唢呐匠的看家本事,0.0,0.8,0.2,0.8,0.8
video_0016,28,怎么，吃不惯啊,0.0,-0.8,1.0,-0.8,0.8
video_0047,26,没有,-0.8,0.0,-1.0,0.0,0.8
video_0036,12,打不过人家，就不要再说打了嘛,-0.6,0.2,-0.8,0.2,0.8
video_0035,21,不是给过你一个了吗,0.4,-0.4,0.6,-0.4,0.8
video_0056,53,忘了吗，我们是一个组合,0.8,0.0,0.8,0.0,0.8
video_0054,152,若是你没有做错事，我自然不会冤枉你,-0.8,0.0,-0.4,0.0,0.8
video_0045,52,因为太多人赋予你你的伞是应该干什么干什么，就还是应该坚持心中的那个,-0.2,0.4,-0.6,0.4,0.6000000000000001
video_0023,58,回到正规上来，这才是重要的。,-0.2,0.4,-0.4,0.4,0.6000000000000001
video_0009,2,妹妹不敢有任何非分之想。,-0.4,0.2,0.0,0.2,0.6000000000000001
video_0054,144,看来张御厨不满意我的结论，总想要揪个人出来呀,-0.6,0.0,0.8,0.0,0.6
video_0038,46,我去换衣服，我们出去吃,0.6,0.0,0.4,0.0,0.6
video_0039,7,主要就想再过一下咱们的合同之后呢再看看我那台赛车,0.6,0.0,1.0,0.0,0.6
video_0035,3,你刚才怎么不说话,0.0,-0.6,0.4,-0.6,0.6
video_0034,13,在这鬼地方，太阳就是从南边升起的，对吧，我记得，行。,-0.6,0.0,-1.0,0.0,0.6
video_0047,20,我什么都没说,-0.6,0.0,-1.0,0.0,0.6
video_0015,1,据我推测应该是送她的同伙杀人越货。,0.0,-0.6,-0.2,-0.6,0.6
video_0051,14,当你没有经验的时候，你有一个好的导演你就有了一把尺子,0.6,0.0,0.6,0.0,0.6
video_0053,16,秀兰她是个温婉的，楚楚可怜的,0.0,0.6,0.0,0.6,0.6
video_0053,43,无论你多恨这个人你们以前有多么深的误会，你只要还爱着这个人，你的眼睛是藏不住的,0.6,0.0,0.0,0.0,0.6
video_0020,8,我们走吧，你让我妹妹坐前面吧，她个子比较小。,0.6,0.0,0.8,0.0,0.6
video_0043,43,各位老师好，我是张楠，近年22岁,0.6,0.0,0.2,0.0,0.6
video_0045,25,我爱国，但是我不太会在大场合讲爱国,0.0,0.6,0.0,0.6,0.6
video_0024,109,您说的我完全理解。,0.0,0.6,0.0,0.6,0.6
video_0013,21,我很好奇，你到底喜不喜欢建筑,-0.4,0.0,-1.0,0.0,0.4
