video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0045,8,说的好可怜啊,1.0,-1.0,1.0,1.0,2.0
video_0048,22,你说这什么话，什么叫白娶了，那咱们俩不也得吃饭吗是不是,1.0,-1.0,1.0,1.0,2.0
video_0051,32,你带她走，俺要是有命回去，俺当牛做马报答你,-1.0,1.0,-1.0,-1.0,2.0
video_0041,8,督办您是什么人啊，您是铮铮铁骨，您是男子汉，统带千军万马,-1.0,0.8,-1.0,-0.8,1.8
video_0009,6,我今天赢回了这么多金瓜子，你怎么不高兴啊？,1.0,-0.8,1.0,0.6,1.8
video_0029,10,听得见吗，只要我活着，我就会记住你,-1.0,0.8,-1.0,-0.8,1.8
video_0036,32,而子虞，要建功立业青史留名，我也要成全他,-1.0,0.8,-1.0,-0.2,1.8
video_0024,89,我不会认输的。,-1.0,0.8,-1.0,-0.6,1.8
video_0024,44,学校处罚学生不用经过班主任同意，呵呵,1.0,-0.8,1.0,-0.2,1.8
video_0051,68,我踏实了,-0.8,1.0,-1.0,-0.8,1.8
video_0015,23,你不是很上镜,1.0,-0.8,1.0,0.6,1.8
video_0032,5,就是这么想的，要活一起活，要死大家一起。,1.0,-0.8,1.0,-0.6,1.8
video_0060,13,老师，我们错了，下次不敢了,0.8,-1.0,1.0,0.8,1.8
video_0054,104,然后我就有一种我想成为她的骄傲,-0.6,1.0,-0.6,-1.0,1.6
video_0014,31,这样就可以多维持几个月,-1.0,0.6,-1.0,-0.6,1.6
video_0028,7,救岩多帕就只有这一次机会，我必须这么做。,-1.0,0.6,-1.0,-1.0,1.6
video_0056,27,找不到了吧,1.0,-0.6,1.0,1.0,1.6
video_0027,5,我是刚，来来来来,-1.0,0.6,-1.0,-1.0,1.6
video_0041,11,跟您这么说吧，那天其实我在裕德里的时候我就挺喜欢刘汉臣的,-1.0,0.6,-1.0,-1.0,1.6
video_0010,24,真的，你看你这个流氓样子。,0.6,-1.0,1.0,0.2,1.6
video_0014,29,从今天起，你妈就是我妈,-1.0,0.6,-1.0,0.0,1.6
video_0051,31,这孩子只有这一条活路，俺信你,-0.6,1.0,-1.0,-0.8,1.6
video_0055,11,这也太意想不到了吧,-0.8,0.8,-1.0,0.2,1.6
video_0016,32,也是茴香的味道，能让我在将来厌倦你的时候多去回想你的好。,-1.0,0.6,-1.0,0.0,1.6
video_0015,31,这种桥段，在我们侦探推理届并不新鲜。,1.0,-0.6,1.0,0.6,1.6
video_0016,40,张扬，谢谢你,-0.6,1.0,-1.0,0.2,1.6
video_0025,10,我们在这里一个打十个。,-1.0,0.6,-1.0,0.6,1.6
video_0053,11,生日快乐,-1.0,0.6,-1.0,-1.0,1.6
video_0042,20,我的三元得力干将，这次都进化了,-1.0,0.6,-1.0,-0.2,1.6
video_0013,4,老规矩，就是脱衣服。,1.0,-0.4,0.8,0.6,1.4
video_0001,31,不是都快破产了吗,0.6,-0.8,1.0,-0.8,1.4
video_0049,10,没关系，我这人就喜欢被人打,1.0,-0.4,1.0,1.0,1.4
video_0051,2,一上来就这么高难度,0.6,-0.8,1.0,0.4,1.4
video_0051,33,最后一口粮，我也给她,-1.0,0.4,-1.0,-1.0,1.4
video_0038,47,这是她第一次约我，你快帮我想想办法呀,-1.0,0.4,-1.0,-1.0,1.4
video_0058,10,看来你们俩现在的口令已经完全失效了,0.8,-0.6,1.0,0.6,1.4
video_0027,2,爹，爷爷又来骂你了。,0.6,-0.8,1.0,-0.2,1.4
video_0041,15,我为什么没有对外界说呢，我还是照顾督办的名声,-1.0,0.4,-1.0,-1.0,1.4
video_0015,8,都是道上的，给点面子啦,-0.6,0.8,-1.0,0.0,1.4
video_0027,23,这回娘也给你煮了新的饺子，还是20个。,-1.0,0.4,-1.0,-0.2,1.4
video_0024,115,把自己的桥修好，在我看来，是世界上最大的事。,-0.6,0.8,-0.8,0.2,1.4
video_0047,78,没想到你还挺长情的,-0.8,0.6,0.8,0.2,1.4
video_0002,23,非常理解您想请朋友们把酒言欢的心情。,-0.6,0.8,-1.0,-0.2,1.4
video_0047,44,你还恭喜我嘛,-1.0,0.4,-0.8,-1.0,1.4
video_0034,3,会有人来救我们吧,-1.0,0.4,-1.0,-0.6,1.4
video_0035,28,他们怎么敢演奏禁曲,0.6,-0.8,1.0,0.4,1.4
video_0056,71,我会去救他,-1.0,0.4,-1.0,-1.0,1.4
video_0032,19,你不是演过赌神的吗？你这样合适吗？,-1.0,0.4,-1.0,-0.2,1.4
video_0030,6,使劲喊哪娃，使劲喊,-1.0,0.4,-1.0,-1.0,1.4
video_0042,7,谢谢队长,-0.4,0.8,-1.0,0.2,1.2000000000000002
video_0060,24,他都没正眼看过我,0.4,-0.8,1.0,0.6,1.2000000000000002
video_0055,5,我就是随口一说，谁知道真的就在啊,0.8,-0.4,0.6,0.0,1.2000000000000002
video_0054,116,我就是想要为难为难他们,0.8,-0.4,1.0,0.2,1.2000000000000002
video_0027,26,你看还能为有庆做点什么吗,-0.8,0.4,-0.6,-1.0,1.2000000000000002
video_0046,27,我想把他找回来,-0.8,0.4,-0.2,-0.8,1.2000000000000002
video_0045,12,你三个选手我都还喜欢，你还欠我凤梨酥呢,-0.4,0.8,-0.8,0.2,1.2000000000000002
video_0060,2,学校没一个正经的,0.2,-1.0,0.2,-0.6,1.2
video_0017,17,伯母，不是华北之大，容不下一张平静的课桌，是整个国家危亡，所以我们都要去当兵,-0.6,0.6,-0.4,-0.6,1.2
video_0056,10,呦，徐总这是干嘛呢,1.0,-0.2,1.0,1.0,1.2
