video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0058,9,活该，大半夜的没事在那爬来爬去的，不困才怪呢,-0.8,-1.0,0.6,0.6,1.4
video_0054,31,我久经沙场的到了这感觉特别像囚徒被困在这衣服里,-0.2,-0.8,1.0,1.0,1.2
video_0054,30,还挺难的，我说怎么感觉,-0.2,-1.0,1.0,1.0,1.2
video_0054,41,拜托，多给一点点休息时间，我想多睡两个小时,0.0,-0.8,1.0,1.0,1.0
video_0045,63,黄小山，小山哥就是那个认真说话的人,0.4,0.2,-0.6,-0.6,1.0
video_0035,31,大唐陨落不是她的错,0.0,0.4,0.8,-0.8,0.8
video_0053,26,是因为我不管你说的再真实他都没有扣题，最高任务都是失败的,-0.8,-1.0,0.0,0.0,0.8
video_0053,33,蛮遗憾的，这个项目在我眼里是全军覆没的,-0.8,-1.0,0.0,0.0,0.8
video_0014,27,最少能卖150万美金，如果抗到最后，价格没准还能更高,0.0,0.2,-0.8,-0.8,0.8
video_0054,25,建议大家谨慎选择这条道理，因为这条路不是那么好走的,-0.8,-0.6,0.0,0.0,0.8
video_0054,44,女演员为什么都喜欢这种光呢,0.0,-0.2,0.8,0.8,0.8
video_0054,86,你经常等的时候你就什么感觉都没了,-0.8,-0.8,0.0,0.0,0.8
video_0014,17,我以我的生命起誓，这次绝对不是在骗你,0.4,0.6,-0.2,-0.2,0.6000000000000001
video_0048,30,没咱什么事，咱们就撤了吧,-0.2,-0.8,0.4,0.4,0.6000000000000001
video_0038,38,我这个人很记仇的,-0.4,-0.8,0.2,0.2,0.6000000000000001
video_0054,75,而且我觉得老师的要求越来越严格，压力还挺大的,-0.4,-1.0,0.2,0.2,0.6000000000000001
video_0045,67,对于像你这个年龄的阶段而言很难做到，所以我要恭喜你,0.4,1.0,-0.2,-0.2,0.6000000000000001
video_0054,13,自己有能力可以驾驭更好的角色更好的剧本,0.6,0.4,0.0,0.0,0.6
video_0002,3,你说的那些都是我的业余爱好,0.0,0.4,-0.6,0.6,0.6
video_0024,107,孩儿想申请科研经费，率先打造宇宙飞船。,0.0,0.4,0.6,0.6,0.6
video_0021,1,杨瑞，我们还剩十分钟就要撤离,0.0,0.0,-0.6,-0.6,0.6
video_0040,17,但恳请各位领导从轻处分,-0.6,-0.6,0.0,0.0,0.6
video_0045,105,这才是对的,0.6,1.0,0.0,0.0,0.6
video_0054,19,我会竭尽所能去把它呈现好,0.6,0.8,0.0,0.0,0.6
video_0054,187,静娴格格，主子和奴才尊卑有别,-0.6,-0.4,0.0,0.0,0.6
video_0053,43,无论你多恨这个人你们以前有多么深的误会，你只要还爱着这个人，你的眼睛是藏不住的,0.6,0.0,0.0,0.0,0.6
video_0053,2,我喜欢你的性格,0.6,1.0,0.0,0.0,0.6
video_0051,50,我认为徐导很多的点评非常精辟和准确,0.6,1.0,0.0,0.0,0.6
video_0054,34,我很感动，以后我也会一直跟别人搭戏,0.6,1.0,0.0,0.0,0.6
video_0054,183,况且，能够帮助别人一把，何乐而不为呢,0.6,1.0,0.0,0.0,0.6
video_0054,139,只有演员自己心里知道没有那么容易的,-0.6,-0.6,0.0,0.0,0.6
video_0054,126,大部分演员身上都会有腰伤腿伤各种伤,-0.6,-0.6,0.0,0.0,0.6
video_0054,85,我拍完那场戏之后我就一直在等,-0.4,0.0,0.0,0.0,0.4
video_0041,2,男人就怕女人哭,-0.2,-0.4,0.2,0.2,0.4
video_0029,12,集合各队指挥员,0.0,0.0,-0.4,-0.4,0.4
video_0014,22,那个人要是真的愿意出来，也是选择跟我盲比，毕竟还有赢的机会。,0.0,0.0,0.4,-0.4,0.4
video_0011,19,端亲王有倨傲的本钱。,0.4,0.4,0.0,0.0,0.4
video_0054,87,其实第一集才只拍摄了百分之五十吧,-0.4,0.0,0.0,0.0,0.4
video_0025,1,很多人在上面上传真实案件供大家探讨，许多国家地区的破案率，因为这软件大大提升。,0.0,0.2,-0.4,0.4,0.4
video_0021,2,全体注意，为保证人质安全，各位置必须同步攻击，等我命令,0.0,0.0,-0.4,-0.4,0.4
video_0043,21,没想到意外收获会这么多,0.2,1.0,-0.2,-0.2,0.4
video_0054,129,一脸心高气傲不可一世的样子,0.0,-0.8,0.4,0.4,0.4
video_0020,1,红色的也好看呀，但是要是买了红的，我肯定也会后悔，对吧？,-0.4,-0.2,0.0,0.0,0.4
video_0030,26,他才能拼着命把这活保住，传下去,0.4,0.6,0.0,0.0,0.4
video_0054,188,卑职不敢耽误,-0.4,-0.6,0.0,0.0,0.4
video_0054,93,我就也不敢去休息室那边，我就一直在现场呆着,-0.4,-0.2,0.0,0.0,0.4
video_0047,36,你今天找我来是叙旧吵架还是交易啊,0.0,-0.4,0.4,0.4,0.4
video_0023,54,而且每天以后我都默念远离姓谷的女人，给未来的我心理暗示,0.0,-0.8,-0.4,0.4,0.4
video_0051,1,给他们一点具体而微的帮助，那我就不虚此行,0.4,0.2,0.0,0.0,0.4
video_0045,50,坦白说我也很喜欢你这个演讲题，三十而立这个东西,0.2,0.8,0.0,0.0,0.2
video_0047,17,我们现在可以开始谈话了吗,0.2,0.0,0.0,0.0,0.2
video_0045,81,林志颖，你出来给大家示范伏地挺身,-0.2,0.0,0.0,0.0,0.2
video_0043,7,今年没有预算出专辑，得看明年，今年好好拍戏，如果达到一定kpi明年才能出专辑,-0.2,0.0,0.0,0.0,0.2
video_0038,31,谁也联系不上,0.0,-0.2,0.2,-0.2,0.2
video_0045,88,我觉得像我一个培训水平这么好的人，讲的内容这么好的人，你们何必在意我的形象,0.0,0.2,-0.2,-0.2,0.2
video_0038,11,你在这找到我的钱包了吗,0.0,0.0,-0.2,-0.2,0.2
video_0031,32,我替父从军只为尽孝,0.2,0.6,0.0,0.0,0.2
video_0051,71,而且我也非常相信这个故事，相信这个人物,0.2,0.2,0.0,0.0,0.2
video_0028,5,但是要记住，不管成不成功，行动时间只有15分钟。,-0.2,0.0,0.0,0.0,0.2
video_0052,30,争执的结果是形成一个更好的结果,0.2,0.8,0.0,0.0,0.2
video_0030,17,没那么容易，我听说你师傅前几年收了七八个,0.2,-0.4,0.0,0.0,0.2
video_0046,47,他总是希望把快乐带给别人,0.2,1.0,0.0,0.0,0.2
video_0051,60,然后我听说宋洋为了这个角色他三天没有吃东西,0.0,0.0,0.2,0.2,0.2
video_0048,16,咱们除了压岁钱就没有别的资金来源吗,0.0,-0.2,-0.2,0.2,0.2
video_0036,23,连天阴雨，水漫则胜，这雨下了四天了吧,-0.2,-0.2,0.0,0.0,0.2
video_0035,7,你说得对，宫里确实有猫,-0.2,0.0,0.0,0.0,0.2
video_0050,7,我绝对是为你好,0.0,1.0,-0.2,-0.2,0.2
video_0051,16,在台上能够感受到你们那种初心,0.2,0.8,0.0,0.0,0.2
video_0046,55,因为我以前常常在阳明山跑步，他小时候也常常在阳明山出现,-0.2,0.0,0.0,0.0,0.2
video_0017,7,校长，我自己的事情了了，我现在可以去九所工作了。,-0.2,0.4,0.0,0.0,0.2
video_0040,30,说明她没骗你啊，他完全可以一年之后再告诉你,0.0,0.2,-0.2,0.2,0.2
video_0059,10,我今天说的这番话完全是对你好,0.0,0.6,-0.2,-0.2,0.2
video_0054,29,他们说收工的这一刻，就突然一下释放了,0.0,0.8,0.2,0.2,0.2
video_0023,44,女士，你看我有没有点重影啊？,-0.2,-0.2,0.0,0.0,0.2
video_0024,30,来了，怎么没喝点东西呢？,0.0,-0.2,0.2,0.2,0.2
video_0054,88,后面还有很多重场戏没有拍,-0.2,0.0,0.0,0.0,0.2
video_0056,45,现在知道我是干什么的了吧,0.2,0.0,0.0,0.0,0.2
video_0056,58,那你告诉我，昨晚上是不是让人家给打了,-0.2,-0.2,0.0,0.0,0.2
video_0014,10,要不是你带着我，我估计早就被人骗进小黑屋了，我命就交给你了。,0.0,-0.4,-0.2,-0.2,0.2
video_0012,2,娘娘，你要的药熬好了,0.0,0.0,-0.2,-0.2,0.2
video_0060,41,你怎么来了,0.0,0.0,-0.2,-0.2,0.2
video_0046,11,所以说今天我就铤而走险我想走一个被大家可能认为是不太受欢迎的演讲方式,-0.2,-0.2,0.0,0.0,0.2
video_0054,167,我们包衣出身，徐家必得有个女儿进宫的,-0.2,-0.2,0.0,0.0,0.2
video_0054,95,我当时说，啊，为什么,0.0,-0.2,0.2,-0.2,0.2
video_0022,4,人家把信寄了，我想回复信,0.0,0.0,-0.2,-0.2,0.2
video_0054,133,他是没有办法控制自己的动作的,-0.2,-0.2,0.0,0.0,0.2
video_0020,7,正好市里的口语比赛，还有两个直升高中的名额,0.0,0.0,0.2,0.2,0.2
video_0054,142,但是我们敬业，我们有态度,0.2,1.0,0.0,0.0,0.2
video_0018,3,到了补给站，你自己回吧,0.0,-0.2,-0.2,-0.2,0.2
video_0046,9,如果身材不重要的话，那就请不要把这个作为选择我的理由,0.0,-0.2,-0.2,-0.2,0.2
video_0051,40,这个是我之所以受到感动的地方,0.0,0.6,-0.2,-0.2,0.2
