video_id,clip_id,text,label,label_t,label_v,label_a,error
video_0001,1,我不想嫁给李茶,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,30,我用了十五年的时间想忘了被人抛弃或者说你可以走了这种感觉,-0.2,-0.8,-0.2,-0.6,0.0
video_0043,32,他是一个电影学院大一第一学期的一个入门表演练习,0.0,0.0,0.0,0.0,0.0
video_0043,34,但对不起，演员是知道的,0.0,-0.2,0.0,0.0,0.0
video_0043,36,我没拿,-1.0,0.0,-1.0,-0.8,0.0
video_0043,47,好久没有体会到这种即兴的魅力，而且我很感谢我对手，真的,1.0,1.0,1.0,0.8,0.0
video_0043,49,来吧，期待你的表演,1.0,0.8,1.0,1.0,0.0
video_0043,58,我只能说我这次是侥幸,1.0,0.4,1.0,0.0,0.0
video_0043,60,他非常有类型化，他摆在人群中你肯定不会忘记,0.0,0.8,0.0,0.2,0.0
video_0043,61,我始终觉得哪里有空填哪是最容易出来的,0.2,0.2,0.2,0.0,0.0
video_0043,63,因为我觉得走我也不后悔,0.0,0.8,0.0,-0.4,0.0
video_0043,64,只要够优秀，优秀到极点，那我肯定要抢的,0.0,0.8,0.0,0.2,0.0
video_0044,2,我们要正面侧面还有后面都拍你一下，好吧,0.6,0.0,0.6,0.6,0.0
video_0044,10,为什么不演这个呢,-0.8,-0.4,-0.8,0.0,0.0
video_0045,1,我觉得这是我今天得到的最大的收获,0.4,0.4,0.4,0.0,0.0
video_0045,8,说的好可怜啊,1.0,-1.0,1.0,1.0,0.0
video_0045,16,我心里想，哇我好开心哦，我终于可以换一个地方休息一下了,1.0,1.0,1.0,0.6,0.0
video_0045,18,在文工团里面，我们不仅要表演，我们还要搭舞台，灯光，音响，做道具,0.0,0.0,0.0,0.4,0.0
video_0045,60,至少我觉得米个人都应该真诚都应该认真说话,-0.4,0.6,-0.4,-1.0,0.0
video_0045,59,毕竟我自己就做不到,-0.4,-0.6,-0.4,-0.2,0.0
video_0045,56,你从他身上感受到的最多的是什么,0.0,0.0,0.0,0.0,0.0
video_0045,55,我希望借由这一次的表演，它能够领悟到更多东西,0.0,0.6,0.0,0.0,0.0
video_0045,54,我这么样努力去打工，是为了买一辆自己心爱的摩托车,0.8,0.2,0.8,0.2,0.0
video_0045,47,你最终的这个炮弹要落在什么地方，我其实是稍微有点发散了,0.0,0.0,0.0,0.0,0.0
video_0043,28,03年我一年见了三百多个剧组,0.0,0.0,0.0,0.0,0.0
video_0045,39,自己的三十岁，那一定是才高八斗风度翩翩，张口专业名词，闭嘴绅士微笑,0.8,0.8,0.8,0.4,0.0
video_0045,35,只要不吐我，爱吐谁吐谁,0.4,-0.6,0.4,0.0,0.0
video_0045,34,最开始说好的那样，这不是一场比赛，这是一场秀，加油,0.8,1.0,0.8,1.0,0.0
video_0045,33,三十而立，四十不惑，五十知天命,0.0,0.2,0.0,0.0,0.0
video_0045,25,我爱国，但是我不太会在大场合讲爱国,0.0,0.6,0.0,0.6,0.0
video_0045,24,有一阵子我的眼眶湿润了,0.0,1.0,0.0,0.2,0.0
video_0045,20,原来我以前都不会的事情也不需要做的事情我竟然都会了,0.8,0.6,0.8,0.4,0.0
video_0045,38,你能不能买点正经衣服,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,22,各位老师是可以从一个上帝视角来看我,0.0,0.0,0.0,0.0,0.0
video_0043,20,当然你的傲慢我也很喜欢,1.0,1.0,1.0,0.8,0.0
video_0043,19,这个也是演员的美学，他需要去学习的,0.0,0.0,0.0,0.0,0.0
video_0041,31,我假装约他采访约他去,-1.0,0.0,-1.0,-0.8,0.0
video_0041,30,我说我啊约他上国民饭店,-1.0,0.0,-1.0,-0.8,0.0
video_0041,28,怎么就那么开心呢我,1.0,1.0,1.0,0.6,0.0
video_0041,27,你说我身边要没有他，我这心里头啊,-1.0,-0.6,-1.0,-1.0,0.0
video_0041,26,他跟人家说群的去了,-1.0,0.0,-1.0,-1.0,0.0
video_0041,25,主要是我那搭档，他不是，这前几天呢，他也不跟我说一声,-1.0,0.0,-1.0,-1.0,0.0
video_0041,32,实际上我是想让他教我唱几出戏,-1.0,0.0,-1.0,-0.8,0.0
video_0041,16,你们也被这边感染了吗,0.6,-0.2,0.6,0.0,0.0
video_0041,14,所以我就买通了星期六晚报,-1.0,0.0,-1.0,-1.0,0.0
video_0041,13,我要是当了您的夫人我就不好意思在跟他来往，我怕损害了督办的名声,-1.0,0.0,-1.0,-0.8,0.0
video_0041,12,我当您的媳妇之后呢我还是想唱戏，但是我过去我是想让他教我唱戏,-1.0,0.0,-1.0,-1.0,0.0
video_0041,11,跟您这么说吧，那天其实我在裕德里的时候我就挺喜欢刘汉臣的,-1.0,0.6,-1.0,-1.0,0.0
video_0041,10,那国民饭店是怎么回事,-1.0,0.0,-1.0,-1.0,0.0
video_0041,8,督办您是什么人啊，您是铮铮铁骨，您是男子汉，统带千军万马,-1.0,0.8,-1.0,-0.8,0.0
video_0041,15,我为什么没有对外界说呢，我还是照顾督办的名声,-1.0,0.4,-1.0,-1.0,0.0
video_0045,61,不要把自己当成是奥斯卡影帝，刻意的煽情和无病呻吟都是伪装的真诚,-0.8,-0.8,-0.8,-1.0,0.0
video_0042,1,我让你给咱们保安队招新人招的怎么样了,-0.2,0.0,-0.2,-0.2,0.0
video_0042,4,他不还是上次那个人吗，他怎么又来了,-1.0,-0.4,-1.0,-1.0,0.0
video_0043,18,关于你的表演里面，你有没有站在观众的角度思考这段表演是否过长或是否过于激烈,0.0,-0.4,0.0,0.0,0.0
video_0043,17,你吼我，长这么大你吼过我吗,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,16,抱歉，我当年没做到，所以你做到了我还挺羡慕你的,0.0,1.0,0.0,-0.2,0.0
video_0043,15,喝醉不是你耍无赖的理由,-1.0,-1.0,-1.0,-1.0,0.0
video_0043,8,我举个例子，编剧说你打杯水喝，那么这本来就是个心理反应,0.2,0.0,0.2,0.2,0.0
video_0043,5,即兴练习应该是让一个人的缺点优点暴露无遗的一个考核标准吧,0.0,0.0,0.0,0.0,0.0
video_0042,2,好，那我就放心了，他们人呢,1.0,0.4,1.0,0.6,0.0
video_0043,4,你给他时间准备，他就会透过排练掩盖他本身的缺点,0.0,-0.4,0.0,0.0,0.0
video_0042,20,我的三元得力干将，这次都进化了,-1.0,0.6,-1.0,-0.2,0.0
video_0042,19,和水手们亲切地交谈，他看见我，向我亲切的挥了挥手,1.0,0.8,1.0,0.8,0.0
video_0042,17,很久没人问我这个问题了,-0.4,0.0,-0.4,0.0,0.0
video_0042,10,上一边自己呆着去,-1.0,-1.0,-1.0,-1.0,0.0
video_0042,9,小鸡，对不起你,-1.0,-1.0,-1.0,-1.0,0.0
video_0042,5,你别败坏我东西了,-1.0,-1.0,-1.0,-0.8,0.0
video_0043,2,大家看好了，这是我第一档综艺，也是我最好的一档综艺，赶紧来吧,1.0,1.0,1.0,0.6,0.0
video_0041,7,外面传言我跟刘汉臣这场戏的怎么着怎么着，督办您觉得这能是真的吗,-1.0,0.0,-1.0,-1.0,0.0
video_0045,65,你居然会懂得如何让成就他人,0.0,0.4,0.0,0.0,0.0
video_0045,69,我们是速度与激情的队伍,1.0,1.0,1.0,0.8,0.0
video_0047,9,案发当晚你在哪里,0.0,0.0,0.0,0.0,0.0
video_0047,10,你跟嫌犯认识吗,0.0,0.0,0.0,0.0,0.0
video_0047,12,在我们开始谈话之前，我有必要跟你解释一下香港的法律,0.0,0.0,0.0,-0.2,0.0
video_0047,14,如果你没有什么意见的话，我会是你的代理人,0.0,0.0,0.0,-0.2,0.0
video_0047,16,我希望你能把你知道的一切诚实地告诉我,0.0,0.2,0.0,-0.2,0.0
video_0047,18,万文芳跟你是什么关系,0.0,0.0,0.0,0.0,0.0
video_0047,19,你跟警察也是这么说的吗,0.0,0.0,0.0,0.0,0.0
video_0047,21,万文芳承认了你是他的儿子,0.0,0.0,0.0,0.0,0.0
video_0047,22,所以他决定在演唱会结束那一天向媒体公布你和他的关系,0.0,0.0,0.0,0.0,0.0
video_0047,23,那你为什么要那么做,0.0,-0.2,0.0,-0.2,0.0
video_0047,25,你是说你没有拿刀刺杀万文芳,0.0,0.0,0.0,0.0,0.0
video_0047,28,你后悔了是吧,-1.0,-0.8,-1.0,-1.0,0.0
video_0047,29,你还是不想让别人知道我的存在,-1.0,-0.6,-1.0,-1.0,0.0
video_0047,30,当年你遗弃我，就像是遗弃一条小狗,-1.0,-1.0,-1.0,-1.0,0.0
video_0047,31,你以为我是什么，一件垃圾箱扔就扔吗,-1.0,-1.0,-1.0,-1.0,0.0
video_0047,32,我是人，是你的儿子,-1.0,-0.2,-1.0,-1.0,0.0
video_0047,35,看来有些东西是真的不会变的,0.6,-0.2,0.6,0.6,0.0
video_0047,58,那你的工作岗位是在哪里呢,0.0,0.0,0.0,0.0,0.0
video_0047,57,逻辑上是有可能的,0.0,0.0,0.0,0.0,0.0
video_0047,56,根据腹部刀伤的切入角度和高度，我们判断凶手应该身高一米八左右,0.0,0.0,0.0,0.0,0.0
video_0047,55,因为罗美慧在案发时有不在场的证据,0.0,0.0,0.0,0.0,0.0
video_0047,54,但是因为被告掉进了海里，使衣服血迹很模糊,0.0,0.0,0.0,0.0,0.0
video_0047,53,这把刀是案发现场发现的凶器,0.0,0.0,0.0,0.0,0.0
video_0047,6,改天我送你一张新的,0.0,0.4,0.0,0.0,0.0
video_0047,52,那您怎么能确定，您听到的争吵声就是我当事人的声音呢,0.0,0.0,0.0,0.0,0.0
video_0047,47,喂，你们有没有看过美国警方给我们当年托马斯夫妇的车祸资料啊,-1.0,0.0,-1.0,-0.6,0.0
video_0047,46,他患有严重的幽闭恐惧症,0.0,-0.8,0.0,0.0,0.0
video_0047,45,我请求行使我当事人的沉默权,0.0,0.0,0.0,0.0,0.0
video_0047,43,你也没有问什么嘛,-0.8,-0.2,-0.8,-1.0,0.0
video_0047,39,我们收费都不便宜的,0.0,-0.2,0.0,0.0,0.0
video_0047,38,为什么不要直接，省着浪费你和我的时间,0.0,-0.8,0.0,0.2,0.0
video_0047,50,请问您以前，跟我的当事人交谈过吗,0.0,0.0,0.0,0.0,0.0
video_0047,4,对，您的记忆力很好,0.0,0.8,0.0,0.0,0.0
video_0047,3,不就是她出第一张专辑，天使的守候那一年吗,0.0,0.0,0.0,0.0,0.0
video_0047,2,我听说您是一个很特别的检控官，所以想来拜访您一下,0.4,0.8,0.4,0.0,0.0
video_0045,103,后来发现我这样设定好像也不太对，后来我就不管了,0.0,0.0,0.0,0.0,0.0
video_0045,100,因为在我年轻的时候我就已经设想要三十而立,0.2,0.0,0.2,0.0,0.0
video_0045,97,你能不能别老带着我跟你逛童装,-1.0,-1.0,-1.0,-1.0,0.0
video_0045,96,你快三十多岁的人了,-1.0,0.0,-1.0,-1.0,0.0
video_0045,94,你为什么不看我的内容,-1.0,-1.0,-1.0,-1.0,0.0
video_0045,93,我带不带耳环跟你有什么关系,-1.0,-1.0,-1.0,-1.0,0.0
video_0046,5,那天你昏迷了一天什么都没有做，你能证明我说错了吗,-0.2,-0.2,-0.2,-0.8,0.0
video_0045,92,我说我讲的东西是好的，能够对你有帮助，你为什么不接纳我,-1.0,-0.8,-1.0,-0.8,0.0
video_0045,89,只要我讲的内容对你有帮助就行了,0.2,0.6,0.2,-0.2,0.0
video_0045,87,我内心深处的想法是,0.0,0.0,0.0,-0.2,0.0
video_0045,86,我带耳环给企业做培训，给政府做培训，我做了很多,0.0,0.0,0.0,-0.2,0.0
video_0045,85,我戴耳环戴很久,0.0,0.0,0.0,0.0,0.0
video_0045,76,从认真也好，从人性也好，都挺有火气的，我说这制止，怎么个制止法呢,0.0,-0.2,0.0,0.0,0.0
video_0045,75,你比黄小山要难你知道吗，因为你在小山后面讲,-0.2,0.0,-0.2,-0.2,0.0
video_0045,90,因为当我去给那些比较传统的政府官员，或者年龄比较大的企业主，或者这些教育工作者讲课的时候,0.0,0.0,0.0,0.0,0.0
video_0045,66,每个人都想成全自己，但是很少有人会想到如何通过成全别人来成全自己,0.0,-0.4,0.0,0.2,0.0
video_0046,6,用自己的表格记录一下这些时间是怎么花的,0.0,0.0,0.0,-0.6,0.0
video_0046,21,庙里的和尚都这么说，活该你单身,-1.0,-0.6,-1.0,-0.6,0.0
video_0046,53,你已经知道其实是没有人做过，就是因为没有人做过所以你想去做,0.0,-0.2,0.0,0.2,0.0
video_0046,51,我的极限，我的痛苦可能已经到达一个临界点,0.0,-0.8,0.0,-0.2,0.0
video_0046,46,能够让别人明白命运可以掌握在自己手里面，那我就觉得已经很开心很满足了,0.8,1.0,0.8,0.0,0.0
video_0046,41,我也幻想过自己是一个球员，可以加入NBA和科比一起打球,0.6,0.4,0.6,0.6,0.0
video_0046,40,我小时候曾经幻想过自己是超人，可以出现在人们需要我的时候拯救世界,1.0,0.8,1.0,0.6,0.0
video_0046,38,父母的爱就是我成长中最好的养料,0.2,0.8,0.2,-0.8,0.0
video_0046,13,你所有走过的弯路，艾力，我全部都走过,0.0,0.2,0.0,0.4,0.0
video_0046,34,因为我一直相信我的儿子会回到我的身边，我就是有这样一个信念让我坚守了二十六年,-0.2,1.0,-0.2,-1.0,0.0
video_0046,30,我儿子不是太可怜了吗,-1.0,-1.0,-1.0,-1.0,0.0
video_0046,29,又是这个然而，房东说孩子三天前又被送到安康去了,-1.0,0.0,-1.0,-1.0,0.0
video_0046,28,我说你有孩子你为什么偷我的儿子,-1.0,-1.0,-1.0,-1.0,0.0
